Наличные курсы,USD,,EURO,,RUB,,KZT,
Банк,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа
Банк Азии,"81,50","82,50","83,50","84,50","1,3500","1,4500","0,1150","0,1900"
KICB,"83,00","84,00","84,50","85,50","1,3300","1,4500","0,1100","0,1950"
Банк КЫРГЫЗСТАН,"82,00","83,00","84,00","85,00","1,3300","1,4300","0,1100","0,1900"
Оптима Банк,"83,00","84,00","85,50","86,50","1,3500","1,4500","0,1100","0,1900"
РСК Банк,"82,00","83,00","85,00","86,00","1,3400","1,4300","0,1100","0,1900"
Демир Банк,"83,00","84,00","85,50","86,50","1,3500","1,4500","0,1100","0,1900"
FINCA Банк,"82,50","83,50","84,00","85,00","1,3400","1,4300","0,1150","0,1900"
Банк Компаньон,"81,50","82,50","83,20","84,20","1,3400","1,4300","0,1150","0,2100"
Моссовет / valuta.kg,"82,87","83,87","87,50","88,50","1,0230","1,1600","0,1094","0,2010"
